--> Angle-of-Arrival Data Log <--
Timestamp, Angle(deg)
13:50:29.700102,-46
13:50:29.830298,-47
13:50:29.864977,-47
13:50:29.901665,-48
13:50:30.079834,-49
13:50:30.333388,-50
13:50:30.534648,-50
13:50:30.743753,-50
13:50:30.970557,-51
13:50:31.172205,-51
13:50:31.332723,-51
13:50:31.474599,-51
13:50:31.749990,-50
13:50:31.959510,-51
13:50:32.099122,-50
13:50:32.274073,-49
13:50:32.429278,-49
13:50:32.672845,-50
13:50:32.860991,-51
13:50:33.056930,-51
13:50:33.240677,-51
13:50:33.354772,-49
13:50:33.480657,-49
13:50:33.759553,-50
13:50:33.937703,-49
13:50:34.095971,-49
13:50:34.284610,-49
13:50:34.558474,-48
13:50:34.785140,-48
13:50:34.988107,-48
13:50:35.171520,-48
13:50:35.380127,-48
13:50:35.584787,-48
13:50:35.718171,-48
13:50:36.007859,-49
13:50:36.126822,-49
13:50:36.329194,-49
13:50:36.505743,-48
13:50:36.700446,-49
13:50:36.962349,-49
13:50:37.064302,-49
13:50:37.251743,-50
13:50:37.515981,-50
13:50:37.684316,-50
13:50:37.974277,-51
13:50:38.180302,-50
13:50:38.372956,-49
13:50:38.577611,-50
13:50:38.688730,-50
13:50:38.936508,-49
13:50:39.303094,-50
13:50:39.448682,-50
13:50:39.716034,-49
13:50:39.898499,-47
13:50:40.088743,-43
13:50:40.261850,-43
13:50:40.431109,-43
13:50:40.721873,-41
13:50:40.942169,-40
13:50:41.203623,-40
13:50:41.456649,-38
13:50:41.729723,-35
13:50:41.923655,-35
13:50:42.125553,-33
13:50:42.442135,-30
13:50:42.566149,-28
13:50:42.757284,-26
13:50:43.018644,-25
13:50:43.145459,-24
13:50:43.406710,-22
13:50:43.543043,-20
13:50:43.782741,-17
13:50:43.973088,-16
13:50:44.231838,-14
13:50:44.397862,-17
13:50:44.540376,-15
13:50:44.714926,-12
13:50:45.036620,-12
13:50:45.191715,-10
13:50:45.311371,-10
13:50:45.529113,-11
13:50:45.728930,-13
13:50:45.863768,-10
13:50:46.054354,-10
13:50:46.265508,-12
13:50:46.447387,-14
13:50:46.633212,-16
13:50:46.821002,-15
13:50:47.000300,-12
13:50:47.374611,-10
13:50:47.508041,-11
13:50:47.731626,-11
13:50:48.016887,-11
13:50:48.254628,-10
13:50:48.493034,-6
13:50:48.648344,-3
13:50:48.721858,-2
13:50:48.843692,0
13:50:48.963957,1
13:50:49.082930,3
13:50:49.251185,5
13:50:49.414788,7
13:50:49.656641,7
13:50:49.808868,7
13:50:50.019446,10
13:50:50.281787,12
13:50:50.499416,15
13:50:50.728400,15
13:50:50.891861,14
13:50:51.101228,13
13:50:51.411600,11
13:50:51.676633,9
13:50:51.884837,8
13:50:52.125348,5
13:50:52.437971,3
13:50:52.683523,1
13:50:52.840748,1
13:50:53.071942,0
13:50:53.288496,0
13:50:53.506034,0
13:50:53.765159,0
13:50:53.985924,0
13:50:54.138740,0
13:50:54.360256,0
13:50:54.490382,2
13:50:54.673022,3
13:50:54.825114,2
13:50:55.041502,2
13:50:55.251066,2
13:50:55.473341,3
13:50:55.553526,4
13:50:55.773177,3
13:50:55.934012,3
13:50:56.067040,2
13:50:56.242508,0
13:50:56.436578,-1
13:50:56.592666,-5
13:50:56.746589,-9
13:50:56.969738,-11
13:50:57.214824,-11
13:50:57.375778,-12
13:50:57.520939,-15
13:50:57.817950,-18
13:50:58.023462,-21
13:50:58.173415,-25
13:50:58.428265,-29
13:50:58.667381,-31
13:50:58.723949,-33
13:50:58.869064,-36
13:50:59.144202,-39
13:50:59.530852,-40
13:50:59.633621,-40
13:50:59.803060,-39
13:50:59.933723,-39
13:51:00.078074,-38
13:51:00.284774,-37
13:51:00.456426,-36
13:51:00.663006,-35
13:51:00.781703,-36
13:51:00.893113,-39
13:51:01.205711,-40
13:51:01.391278,-39
13:51:01.537319,-39
13:51:01.688746,-38
13:51:01.836431,-38
13:51:02.034424,-37
13:51:02.395674,-37
13:51:02.651404,-37
13:51:02.809588,-37
13:51:03.116061,-37
13:51:03.243146,-37
13:51:03.400962,-38
13:51:03.511925,-37
13:51:03.671705,-38
13:51:03.831742,-39
13:51:04.000620,-40
13:51:04.145478,-40
13:51:04.273379,-42
13:51:04.394649,-42
13:51:04.602216,-42
13:51:04.796779,-42
13:51:04.925123,-43
13:51:05.028017,-44
13:51:05.245307,-45
13:51:05.517343,-43
13:51:05.714310,-39
13:51:05.922402,-37
13:51:06.081292,-34
13:51:06.300405,-31
13:51:06.440626,-29
13:51:06.672327,-27
13:51:06.758992,-24
13:51:06.973322,-23
13:51:07.177943,-20
13:51:07.309337,-19
13:51:07.453205,-20
13:51:07.650218,-20
13:51:07.852301,-20
13:51:08.199355,-19
13:51:08.304401,-19
13:51:08.453140,-19
13:51:08.684588,-19
13:51:08.831902,-19
13:51:09.052838,-18
13:51:09.200653,-21
13:51:09.406913,-23
13:51:09.690665,-25
13:51:09.864113,-27
13:51:10.046084,-29
13:51:10.253322,-31
13:51:10.387470,-33
13:51:10.494437,-35
13:51:10.665682,-36
13:51:10.707580,-39
13:51:11.021114,-39
13:51:11.205474,-37
13:51:11.381244,-36
13:51:11.562200,-36
13:51:11.629045,-36
13:51:11.758292,-35
13:51:12.010308,-34
13:51:12.209781,-33
13:51:12.507088,-32
13:51:12.765049,-32
13:51:12.977807,-31
13:51:13.146905,-31
13:51:13.271080,-32
13:51:13.470645,-29
13:51:13.588656,-27
13:51:13.732951,-26
13:51:13.830648,-24
13:51:14.001817,-23
13:51:14.236822,-21
13:51:14.364885,-19
13:51:14.613185,-18
13:51:14.800071,-16
13:51:14.959901,-15
13:51:15.032789,-14
13:51:15.255298,-13
13:51:15.523640,-11
13:51:15.739185,-9
13:51:15.921611,-8
13:51:16.122729,-6
13:51:16.312594,-4
13:51:16.517581,-3
13:51:16.734208,0
13:51:16.863359,1
13:51:17.074485,1
13:51:17.318039,0
13:51:17.415874,0
13:51:17.588563,1
13:51:17.805447,1
13:51:18.082699,1
13:51:18.214669,1
13:51:18.404838,2
13:51:18.609858,2
13:51:18.750167,2
13:51:18.924571,3
13:51:19.032329,3
13:51:19.157256,3
13:51:19.305489,3
13:51:19.548337,3
13:51:19.671644,3
13:51:19.921766,2
13:51:20.140419,1
13:51:20.220523,0
13:51:20.417382,-2
13:51:20.608878,-4
13:51:20.914415,-7
13:51:21.090227,-9
13:51:21.216693,-10
13:51:21.228986,-10
13:51:21.405812,-10
13:51:21.515286,-10
