--> Angle-of-Arrival Data Log <--
Timestamp, Angle(deg)
16:53:23.509310,33
16:53:23.673571,35
16:53:23.677404,36
16:53:23.682187,40
16:53:23.703344,41
16:53:23.716238,42
16:53:23.733565,41
16:53:23.780452,42
16:53:23.828220,44
16:53:23.876356,44
16:53:23.924192,47
16:53:23.940628,47
16:53:23.956394,47
16:53:23.972289,47
16:53:24.020806,47
16:53:24.036618,47
16:53:24.052239,47
16:53:24.100018,47
16:53:24.115879,47
16:53:24.163983,43
16:53:24.211982,40
16:53:24.260097,37
16:53:24.276125,38
16:53:24.291733,37
16:53:24.339903,37
16:53:24.341216,36
16:53:24.403811,36
16:53:24.451796,35
16:53:24.500898,34
16:53:24.547882,33
16:53:24.595920,32
16:53:24.611819,31
16:53:24.659887,31
16:53:24.675622,30
16:53:24.723748,29
16:53:24.771801,29
16:53:24.819893,26
16:53:24.835642,25
16:53:24.883943,24
16:53:24.932203,27
16:53:24.980005,29
16:53:25.028129,32
16:53:25.044392,32
16:53:25.045446,31
16:53:25.060511,32
16:53:25.108070,32
16:53:25.124211,32
16:53:25.172012,33
16:53:25.220039,35
16:53:25.268024,36
16:53:25.316047,37
16:53:25.379655,38
16:53:25.427708,38
16:53:25.475720,38
16:53:25.523806,39
16:53:25.539859,39
16:53:25.587704,41
16:53:25.635799,39
16:53:25.683859,36
16:53:25.731993,33
16:53:25.779981,32
16:53:25.828053,31
16:53:25.876001,30
16:53:25.891901,29
16:53:25.940145,28
16:53:25.987973,27
16:53:26.035993,26
16:53:26.084089,25
16:53:26.132158,24
16:53:26.179965,23
16:53:26.228285,23
16:53:26.244559,22
16:53:26.291983,22
16:53:26.308048,22
16:53:26.324336,21
16:53:26.372117,21
16:53:26.387735,21
16:53:26.435828,22
16:53:26.483879,24
16:53:26.531942,27
16:53:26.579936,27
16:53:26.628052,28
16:53:26.643868,29
16:53:26.659913,29
16:53:26.675542,29
16:53:26.676370,29
16:53:26.692040,29
16:53:26.708286,29
16:53:26.755968,29
16:53:26.772000,29
16:53:26.788098,30
16:53:26.836000,30
16:53:26.852063,30
16:53:26.867962,31
16:53:26.884358,31
16:53:26.931924,31
16:53:26.980167,32
16:53:26.996016,32
16:53:27.012947,33
16:53:27.027425,33
16:53:27.028370,33
16:53:27.044185,33
16:53:27.060082,32
16:53:27.076037,33
16:53:27.092073,33
16:53:27.139935,33
16:53:27.156220,34
16:53:27.203876,34
16:53:27.219865,34
16:53:27.235791,35
16:53:27.251678,34
16:53:27.254490,34
16:53:27.315516,34
16:53:27.316491,34
16:53:27.331968,33
16:53:27.379978,33
16:53:27.396090,33
16:53:27.412088,33
16:53:27.428308,32
16:53:27.444077,32
16:53:27.491859,31
16:53:27.539849,31
16:53:27.587855,31
16:53:27.635833,31
16:53:27.683800,31
16:53:27.700157,31
16:53:27.716157,31
16:53:27.731822,32
16:53:27.779948,32
16:53:27.795617,32
16:53:27.811539,32
16:53:27.812359,32
16:53:27.875446,33
16:53:27.923460,33
16:53:27.924486,33
16:53:27.939933,33
16:53:27.956029,32
16:53:27.972067,32
16:53:27.988190,32
16:53:28.004046,33
16:53:28.052068,33
16:53:28.099925,33
16:53:28.147960,33
16:53:28.163901,34
16:53:28.179864,33
16:53:28.196060,33
16:53:28.211665,33
16:53:28.212507,33
16:53:28.275421,32
16:53:28.323470,32
16:53:28.371546,30
16:53:28.419725,28
16:53:28.467696,26
16:53:28.515648,26
16:53:28.563755,25
16:53:28.579608,24
16:53:28.627635,24
16:53:28.643746,24
16:53:28.644995,23
16:53:28.707367,22
16:53:28.711178,22
16:53:28.755848,22
16:53:28.771841,21
16:53:28.819989,21
16:53:28.835911,20
16:53:28.883756,19
16:53:28.931740,19
16:53:28.980023,18
16:53:28.995896,17
16:53:29.046007,17
16:53:29.091905,17
16:53:29.139843,18
16:53:29.187707,18
16:53:29.251274,16
16:53:29.299515,14
16:53:29.347488,11
16:53:29.395372,8
16:53:29.444135,5
16:53:29.491564,3
16:53:29.539585,1
16:53:29.587466,0
16:53:29.635837,0
16:53:29.683657,-2
16:53:29.731694,-3
16:53:29.779590,-4
16:53:29.827575,-5
16:53:29.875804,-7
16:53:29.923836,-9
16:53:29.971919,-10
16:53:30.019947,-12
16:53:30.067980,-13
16:53:30.115808,-14
16:53:30.163731,-15
16:53:30.211752,-15
16:53:30.259780,-14
16:53:30.307686,-13
16:53:30.355603,-10
16:53:30.403612,-8
16:53:30.451620,-6
16:53:30.499725,-5
16:53:30.547786,-4
16:53:30.595799,-3
16:53:30.611960,-2
16:53:30.659660,-2
16:53:30.675676,-1
16:53:30.691854,-1
16:53:30.739632,0
16:53:30.755695,0
16:53:30.803592,1
16:53:30.851731,3
16:53:30.899698,4
16:53:30.947602,5
16:53:30.995970,6
16:53:31.043605,8
16:53:31.091609,8
16:53:31.139645,10
16:53:31.155670,9
16:53:31.171627,9
16:53:31.187297,10
16:53:31.189958,10
16:53:31.203821,10
16:53:31.219766,9
16:53:31.235777,9
16:53:31.252043,9
