--> Angle-of-Arrival Data Log <--
Timestamp, Angle(deg)
13:45:25.448929,-20
13:45:25.619686,-22
13:45:25.749629,-24
13:45:25.870913,-27
13:45:26.097438,-30
13:45:26.258273,-33
13:45:26.441385,-36
13:45:26.563863,-39
13:45:26.711954,-42
13:45:26.843176,-44
13:45:26.982371,-46
13:45:27.104319,-48
13:45:27.334634,-47
13:45:27.500070,-46
13:45:27.692464,-47
13:45:27.938092,-47
13:45:28.109605,-47
13:45:28.309402,-46
13:45:28.512300,-46
13:45:28.661315,-46
13:45:28.855797,-46
13:45:28.969278,-46
13:45:29.212531,-46
13:45:29.356087,-44
13:45:29.481900,-41
13:45:29.706433,-38
13:45:29.897170,-34
13:45:30.046356,-31
13:45:30.202693,-29
13:45:30.345955,-27
13:45:30.533206,-23
13:45:30.767663,-20
13:45:30.915694,-19
13:45:31.107811,-15
13:45:31.332235,-12
13:45:31.525204,-10
13:45:31.772303,-7
13:45:31.854689,-5
13:45:32.144954,-2
13:45:32.299759,0
13:45:32.397407,3
13:45:32.538941,7
13:45:32.681537,10
13:45:32.903450,11
13:45:33.234828,11
13:45:33.440891,8
13:45:33.662739,7
13:45:33.865697,7
13:45:34.054865,6
13:45:34.267905,5
13:45:34.474251,2
13:45:34.590338,0
13:45:34.789732,-2
13:45:35.038598,-5
13:45:35.197547,-8
13:45:35.431286,-9
13:45:35.659169,-12
13:45:35.876296,-13
13:45:36.052810,-16
13:45:36.249924,-18
13:45:36.455741,-21
13:45:36.627342,-24
13:45:36.751957,-27
13:45:37.023463,-29
13:45:37.188450,-30
13:45:37.533085,-30
13:45:37.737522,-32
13:45:38.003370,-35
13:45:38.229468,-36
13:45:38.444198,-36
13:45:38.655473,-36
13:45:38.839912,-36
13:45:38.937824,-36
13:45:39.173530,-36
13:45:39.430486,-35
13:45:39.657047,-34
13:45:39.784788,-33
13:45:40.023518,-32
13:45:40.167511,-31
13:45:40.281137,-31
13:45:40.418014,-31
13:45:40.664159,-29
13:45:40.823601,-27
13:45:40.952214,-27
13:45:41.101943,-26
13:45:41.209316,-24
13:45:41.387059,-22
13:45:41.588476,-19
13:45:41.817648,-18
13:45:42.083967,-18
13:45:42.333717,-18
13:45:42.579943,-18
13:45:42.762979,-18
13:45:42.983144,-18
13:45:43.060375,-18
13:45:43.234714,-18
13:45:43.476322,-18
13:45:43.596777,-19
13:45:43.681173,-19
13:45:43.869912,-18
13:45:44.054536,-17
13:45:44.207298,-18
13:45:44.398076,-17
13:45:44.549553,-16
13:45:44.728568,-17
13:45:44.844693,-17
13:45:44.995094,-20
13:45:45.129445,-22
13:45:45.287026,-23
13:45:45.540254,-23
13:45:45.685500,-22
13:45:45.816137,-22
13:45:45.979591,-22
13:45:46.215435,-22
13:45:46.351238,-22
13:45:46.572212,-22
13:45:46.740430,-23
13:45:46.838382,-23
13:45:46.935846,-23
13:45:47.166759,-23
13:45:47.417772,-24
13:45:47.508708,-24
13:45:47.731359,-26
13:45:47.868988,-28
13:45:48.086140,-27
13:45:48.141830,-25
13:45:48.262324,-24
13:45:48.420023,-22
13:45:48.600949,-22
13:45:48.762699,-22
13:45:49.026167,-22
13:45:49.167204,-22
13:45:49.336628,-22
13:45:49.487231,-23
13:45:49.634377,-23
13:45:49.782619,-23
13:45:49.890447,-23
13:45:50.064722,-23
13:45:50.263598,-23
13:45:50.437980,-21
13:45:50.653282,-21
13:45:50.797890,-21
13:45:50.982421,-20
13:45:51.138628,-20
13:45:51.290940,-22
13:45:51.434139,-24
13:45:51.665609,-26
13:45:51.870058,-28
13:45:52.071519,-28
13:45:52.302451,-28
13:45:52.489705,-28
13:45:52.646357,-28
13:45:52.801812,-29
13:45:52.964346,-29
13:45:53.128604,-29
13:45:53.354824,-30
13:45:53.474546,-30
