--> Angle-of-Arrival Data Log <--
Timestamp, Angle(deg)
16:39:29.655583,-20
16:39:29.697452,-21
16:39:29.702595,-23
16:39:29.706860,-26
16:39:29.741058,-28
16:39:29.789150,-32
16:39:29.837027,-34
16:39:29.885228,-37
16:39:29.933127,-41
16:39:29.949184,-40
16:39:29.964933,-40
16:39:30.012718,-40
16:39:30.028979,-40
16:39:30.044707,-40
16:39:30.060615,-40
16:39:30.076608,-40
16:39:30.078109,-39
16:39:30.092862,-39
16:39:30.108933,-39
16:39:30.124828,-39
16:39:30.141001,-39
16:39:30.156799,-39
16:39:30.172914,-39
16:39:30.188518,-39
16:39:30.236646,-39
16:39:30.252337,-39
16:39:30.300405,-39
16:39:30.316258,-40
16:39:30.319760,-40
16:39:30.364641,-40
16:39:30.412690,-40
16:39:30.476286,-40
16:39:30.524284,-40
16:39:30.526741,-39
16:39:30.541087,-40
16:39:30.557132,-39
16:39:30.572827,-40
16:39:30.589070,-40
16:39:30.637193,-40
16:39:30.684653,-39
16:39:30.732695,-36
16:39:30.780632,-35
16:39:30.828657,-35
16:39:30.844787,-35
16:39:30.860910,-35
16:39:30.876734,-35
16:39:30.924670,-35
16:39:30.940690,-35
16:39:30.956689,-34
16:39:31.004750,-34
16:39:31.020561,-34
16:39:31.036511,-33
16:39:31.039814,-33
16:39:31.052895,-33
16:39:31.100627,-33
16:39:31.148664,-33
16:39:31.196734,-33
16:39:31.212886,-33
16:39:31.228970,-33
16:39:31.276646,-34
16:39:31.324646,-37
16:39:31.372603,-38
16:39:31.388691,-38
16:39:31.404767,-38
16:39:31.420754,-38
16:39:31.436728,-38
16:39:31.452648,-38
16:39:31.468612,-38
16:39:31.516710,-38
16:39:31.532499,-39
16:39:31.580397,-39
16:39:31.596355,-39
16:39:31.644402,-39
16:39:31.692395,-39
16:39:31.708406,-40
16:39:31.710960,-39
16:39:31.724904,-40
16:39:31.772688,-40
16:39:31.788990,-40
16:39:31.804855,-41
16:39:31.820890,-41
16:39:31.836835,-40
16:39:31.884932,-41
16:39:31.900858,-41
16:39:31.916760,-41
16:39:31.932655,-42
16:39:31.980412,-42
16:39:31.996262,-42
16:39:31.997064,-43
16:39:32.012738,-43
16:39:32.029632,-43
16:39:32.076576,-43
16:39:32.124619,-42
16:39:32.172603,-40
16:39:32.220529,-40
16:39:32.268732,-39
16:39:32.332124,-37
16:39:32.380359,-35
16:39:32.428238,-34
16:39:32.444128,-34
16:39:32.445343,-33
16:39:32.460732,-33
16:39:32.508536,-33
16:39:32.524682,-32
16:39:32.540812,-32
16:39:32.588586,-32
16:39:32.604764,-32
16:39:32.620654,-32
16:39:32.636499,-32
16:39:32.652578,-32
16:39:32.668176,-32
16:39:32.668982,-32
16:39:32.732196,-34
16:39:32.780398,-35
16:39:32.828309,-36
16:39:32.876277,-37
16:39:32.924376,-40
16:39:32.972441,-41
16:39:33.020485,-43
16:39:33.036560,-43
16:39:33.052361,-43
16:39:33.100244,-43
16:39:33.116040,-44
16:39:33.164134,-44
16:39:33.212233,-44
16:39:33.260343,-44
16:39:33.276094,-44
16:39:33.276965,-44
16:39:33.292865,-44
16:39:33.340541,-44
16:39:33.388472,-44
16:39:33.436457,-44
16:39:33.453005,-43
16:39:33.500429,-43
16:39:33.516831,-42
16:39:33.564551,-42
16:39:33.580555,-41
16:39:33.628465,-41
16:39:33.644612,-41
16:39:33.660685,-41
16:39:33.676578,-40
16:39:33.724513,-40
16:39:33.740525,-39
16:39:33.788664,-39
16:39:33.804464,-39
16:39:33.852486,-38
16:39:33.868914,-37
16:39:33.916523,-37
16:39:33.932265,-36
16:39:33.980381,-35
16:39:34.029067,-35
16:39:34.044334,-35
16:39:34.092267,-34
16:39:34.108108,-34
16:39:34.156443,-34
16:39:34.204409,-33
16:39:34.252309,-33
16:39:34.300340,-31
16:39:34.348341,-28
16:39:34.396544,-26
16:39:34.444502,-23
16:39:34.492366,-21
16:39:34.540384,-19
16:39:34.588388,-18
16:39:34.636357,-15
16:39:34.684371,-15
16:39:34.700502,-15
16:39:34.748479,-15
16:39:34.764829,-15
16:39:34.780576,-14
16:39:34.828347,-14
16:39:34.844403,-13
16:39:34.860357,-14
16:39:34.908323,-14
16:39:34.924184,-14
16:39:34.972069,-15
16:39:34.974604,-16
16:39:35.036484,-18
16:39:35.084273,-20
16:39:35.132085,-22
16:39:35.180083,-24
16:39:35.228546,-27
16:39:35.276365,-28
16:39:35.324344,-31
16:39:35.372317,-34
16:39:35.420326,-34
16:39:35.468337,-34
16:39:35.516384,-35
16:39:35.532679,-36
16:39:35.580475,-37
16:39:35.628308,-38
16:39:35.644440,-38
16:39:35.660196,-38
16:39:35.676160,-37
16:39:35.679275,-37
16:39:35.740070,-37
16:39:35.740903,-36
16:39:35.756468,-36
16:39:35.772358,-36
16:39:35.789027,-37
16:39:35.804814,-37
16:39:35.852285,-37
16:39:35.868518,-38
16:39:35.884419,-38
16:39:35.900174,-38
16:39:35.948270,-39
16:39:35.996345,-39
16:39:36.012189,-39
16:39:36.060155,-40
16:39:36.076087,-41
16:39:36.124126,-41
16:39:36.139875,-42
16:39:36.188207,-43
16:39:36.236116,-44
16:39:36.284179,-45
16:39:36.300084,-45
16:39:36.348195,-45
16:39:36.363806,-46
16:39:36.412089,-46
16:39:36.413172,-47
16:39:36.475799,-47
16:39:36.476758,-47
16:39:36.492594,-47
16:39:36.508344,-47
16:39:36.556805,-47
16:39:36.572360,-46
16:39:36.620297,-46
16:39:36.636584,-45
16:39:36.684286,-45
16:39:36.700701,-44
16:39:36.716367,-44
16:39:36.764232,-44
16:39:36.780723,-43
16:39:36.796115,-43
16:39:36.844204,-43
16:39:36.892185,-43
16:39:36.908008,-43
16:39:36.924038,-44
16:39:36.926603,-44
16:39:36.987786,-44
16:39:36.988652,-44
16:39:37.004429,-44
16:39:37.020314,-44
16:39:37.036263,-44
16:39:37.052273,-45
16:39:37.068595,-44
16:39:37.084198,-44
16:39:37.100083,-45
16:39:37.148013,-45
16:39:37.163848,-45
16:39:37.164685,-45
16:39:37.227769,-45
16:39:37.228817,-45
16:39:37.276481,-44
16:39:37.292455,-44
16:39:37.340389,-43
16:39:37.356241,-42
16:39:37.404173,-42
16:39:37.420255,-41
16:39:37.468235,-37
16:39:37.516171,-37
16:39:37.532428,-36
16:39:37.580420,-36
16:39:37.596259,-35
16:39:37.612970,-35
16:39:37.628287,-35
16:39:37.676301,-35
16:39:37.692207,-34
16:39:37.740346,-34
16:39:37.756066,-33
16:39:37.804158,-33
16:39:37.852166,-33
16:39:37.868036,-33
16:39:37.883888,-33
16:39:37.899778,-33
16:39:37.900606,-34
16:39:37.916321,-34
16:39:37.932166,-33
16:39:37.948280,-33
16:39:37.996051,-36
16:39:38.012285,-36
16:39:38.028175,-35
16:39:38.076083,-35
16:39:38.092206,-35
16:39:38.108025,-34
16:39:38.156294,-34
16:39:38.172068,-34
16:39:38.187903,-33
16:39:38.235796,-33
16:39:38.236607,-32
16:39:38.299663,-32
16:39:38.300597,-32
16:39:38.348075,-31
16:39:38.364303,-30
16:39:38.412116,-28
16:39:38.460193,-27
16:39:38.508131,-27
16:39:38.571634,-25
16:39:38.619790,-24
16:39:38.667792,-24
16:39:38.715833,-21
16:39:38.763916,-19
16:39:38.812213,-17
16:39:38.860142,-15
16:39:38.908048,-13
16:39:38.956064,-11
16:39:39.004088,-9
16:39:39.052129,-7
16:39:39.099986,-5
16:39:39.116016,-6
16:39:39.164031,-6
16:39:39.211993,-7
16:39:39.228007,-8
16:39:39.275867,-8
16:39:39.323949,-10
16:39:39.372002,-11
16:39:39.387838,-11
16:39:39.435825,-12
16:39:39.483902,-13
16:39:39.531980,-14
16:39:39.579961,-17
16:39:39.627992,-19
16:39:39.676026,-22
16:39:39.723993,-24
16:39:39.772087,-27
16:39:39.819957,-28
16:39:39.867982,-30
16:39:39.916045,-30
16:39:39.932066,-31
16:39:39.980136,-30
16:39:39.996447,-29
16:39:40.043862,-29
16:39:40.060130,-29
16:39:40.075885,-29
16:39:40.092177,-29
16:39:40.107509,-29
16:39:40.155667,-29
16:39:40.203856,-27
16:39:40.251946,-25
16:39:40.300019,-23
16:39:40.315946,-22
16:39:40.363810,-22
16:39:40.379528,-22
16:39:40.380303,-22
16:39:40.396126,-22
16:39:40.444031,-22
16:39:40.492131,-24
16:39:40.539915,-26
16:39:40.587934,-28
16:39:40.604259,-29
16:39:40.619983,-29
16:39:40.635978,-28
16:39:40.652030,-28
16:39:40.668129,-28
16:39:40.715978,-26
16:39:40.763904,-24
16:39:40.811901,-24
16:39:40.859921,-25
16:39:40.908062,-26
16:39:40.955884,-29
16:39:40.971929,-29
16:39:40.987974,-28
16:39:41.035862,-28
16:39:41.083928,-27
16:39:41.131985,-24
16:39:41.179909,-22
16:39:41.227909,-18
16:39:41.276013,-15
16:39:41.323874,-13
16:39:41.371878,-11
16:39:41.419854,-9
16:39:41.467829,-7
16:39:41.515918,-4
16:39:41.532353,0
16:39:41.579803,-4
16:39:41.627880,-6
16:39:41.675851,-7
16:39:41.723838,-8
16:39:41.739924,-8
16:39:41.787825,-8
16:39:41.803926,-8
16:39:41.819925,-8
16:39:41.835849,-8
16:39:41.851842,-9
16:39:41.899976,-9
16:39:41.947773,-9
16:39:41.995888,-7
16:39:42.043720,-8
16:39:42.091773,-9
16:39:42.107700,-9
16:39:42.155623,-7
16:39:42.203702,-6
16:39:42.251768,-6
16:39:42.299689,-6
16:39:42.347724,-5
16:39:42.395710,-3
16:39:42.443943,-1
16:39:42.491728,-1
16:39:42.507585,0
16:39:42.555700,3
16:39:42.571372,3
16:39:42.572245,2
16:39:42.619733,2
16:39:42.635834,2
16:39:42.651854,2
16:39:42.699778,0
16:39:42.747813,-4
16:39:42.795811,-6
16:39:42.843723,-8
16:39:42.891920,-10
16:39:42.940074,-14
16:39:42.987727,-17
16:39:43.035803,-19
16:39:43.083728,-21
16:39:43.131669,-22
16:39:43.195312,-24
16:39:43.243345,-26
16:39:43.291416,-26
16:39:43.339477,-29
16:39:43.387651,-32
16:39:43.436058,-30
16:39:43.483651,-28
16:39:43.531773,-26
16:39:43.579781,-24
16:39:43.627886,-22
16:39:43.675615,-21
16:39:43.723888,-19
16:39:43.771711,-17
16:39:43.819704,-13
16:39:43.867807,-12
16:39:43.915675,-11
16:39:43.963619,-9
16:39:44.011662,-8
16:39:44.059635,-7
16:39:44.107813,-6
16:39:44.155801,-6
16:39:44.203670,-6
16:39:44.251867,-6
16:39:44.267882,-6
16:39:44.285200,-7
16:39:44.331723,-8
16:39:44.379702,-10
16:39:44.427702,-11
16:39:44.443755,-12
16:39:44.491682,-13
16:39:44.539591,-14
16:39:44.587655,-15
16:39:44.603745,-15
16:39:44.651634,-17
16:39:44.699797,-15
16:39:44.747574,-13
16:39:44.795547,-12
16:39:44.843678,-10
16:39:44.891753,-9
16:39:44.939641,-8
16:39:44.987738,-6
16:39:45.035757,-3
16:39:45.083576,-2
16:39:45.131645,-1
16:39:45.147910,-1
16:39:45.195541,-1
