--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:53:35.693289,9.75
16:53:35.998137,9.64
16:53:37.092711,10.04
16:53:37.677924,3.05
16:53:38.036214,0.53
16:53:38.265804,9.42
16:53:38.615487,9.53
16:53:39.242539,9.57
16:53:39.542803,9.97
16:53:41.175053,9.86
16:53:41.391420,10.04
16:53:42.080750,3.24
16:53:42.441002,8.07
16:53:42.898190,9.82
16:53:43.372304,9.86
16:53:43.801358,7.96
16:53:44.278672,9.97
16:53:44.547181,10.01
16:53:45.208002,10.12
16:53:46.026634,9.9
16:53:46.388080,10.01
16:53:46.710399,10.04
16:53:46.935274,9.79
16:53:47.514904,9.93
16:53:47.871958,10.26
16:53:48.261451,10.41
16:53:48.617458,10.08
16:53:49.839436,8.29
16:53:50.376341,10.12
16:53:50.695979,9.97
16:53:50.999029,9.93
16:53:52.097310,7.88
16:53:53.482237,9.86
16:53:53.884289,9.5
16:53:54.738792,10.23
16:53:55.551975,10.01
16:53:56.407490,10.41
16:53:56.573778,0.0
16:53:56.986083,5.1
16:53:57.240174,2.94
16:53:57.765157,9.86
16:53:58.097030,3.31
16:53:59.016090,9.75
16:53:59.240647,9.75
16:54:00.254420,9.9
16:54:00.647710,9.64
16:54:00.947343,5.43
16:54:01.231627,9.86
16:54:01.640411,9.93
16:54:01.966190,0.05
16:54:02.219558,9.93
16:54:02.524584,9.53
16:54:03.166356,7.23
16:54:03.548426,8.87
16:54:03.896454,8.29
16:54:04.412269,8.47
16:54:04.718362,7.48
16:54:06.605417,7.48
16:54:07.273225,7.48
16:54:07.574648,7.92
16:54:07.894418,7.67
16:54:08.244103,7.59
16:54:08.702875,7.37
16:54:08.983886,7.7
16:54:09.487976,7.52
16:54:10.486411,7.74
16:54:11.012972,7.67
16:54:12.121770,7.56
16:54:12.556437,7.52
16:54:13.010591,0.0
16:54:13.208648,7.74
16:54:13.413134,7.74
16:54:13.890100,8.03
16:54:14.039576,3.2
16:54:14.853452,7.88
16:54:15.249193,7.92
16:54:15.621994,7.99
16:54:15.910581,7.88
16:54:16.316111,7.92
16:54:16.717518,7.88
16:54:16.971363,7.99
16:54:17.340755,6.86
16:54:17.955531,7.74
16:54:18.496618,0.0
16:54:18.898303,0.6
16:54:19.447884,7.85
16:54:19.817151,7.77
16:54:20.747841,7.41
16:54:21.275034,7.12
16:54:21.749336,6.93
16:54:22.259543,0.0
16:54:22.753721,4.48
16:54:23.518010,0.0
16:54:23.847907,3.57
16:54:24.185087,5.58
16:54:24.431887,5.62
16:54:24.699122,5.73
16:54:24.997725,5.14
16:54:25.373521,0.71
16:54:25.574885,4.88
16:54:25.851830,0.45
16:54:26.198890,0.0
16:54:26.484583,0.0
16:54:26.838363,4.41
16:54:27.242024,4.55
16:54:27.510420,4.22
16:54:27.863942,4.19
16:54:28.169359,1.81
16:54:28.455218,1.3
16:54:28.740401,0.31
16:54:29.469953,3.2
16:54:29.854280,0.38
16:54:30.132990,3.6
16:54:30.478312,0.0
16:54:30.794037,3.31
16:54:31.181200,0.0
16:54:31.476429,0.86
16:54:31.729228,3.49
16:54:32.113279,1.44
16:54:32.421803,0.0
16:54:32.694164,0.0
16:54:33.253652,0.0
16:54:33.556798,2.03
16:54:33.764905,0.0
16:54:34.046373,4.55
16:54:34.457013,3.68
16:54:34.778166,1.19
16:54:35.264427,0.0
16:54:35.491499,0.0
16:54:35.765416,1.96
16:54:36.111751,0.0
16:54:36.390745,1.26
16:54:36.941098,0.0
16:54:37.301762,0.0
16:54:38.185301,3.49
16:54:38.524469,0.0
16:54:38.963615,0.0
16:54:39.437333,0.16
16:54:39.750848,1.08
16:54:40.049571,3.46
16:54:40.715369,0.78
16:54:40.922027,0.0
16:54:41.277859,0.0
16:54:41.794396,3.49
16:54:41.987886,0.34
16:54:42.427752,0.0
16:54:42.721813,3.35
16:54:42.863925,3.13
16:54:43.181720,3.6
16:54:43.526414,2.94
16:54:43.882183,2.98
16:54:44.308054,2.69
16:54:44.827447,0.0
16:54:45.272938,2.69
16:54:45.531370,2.58
16:54:45.773271,2.14
16:54:45.960009,1.77
16:54:46.350230,0.0
16:54:46.642828,0.0
16:54:46.867004,1.37
16:54:47.204447,1.74
16:54:47.444517,2.03
16:54:47.845351,1.99
16:54:48.174838,1.81
16:54:48.423043,1.7
16:54:48.888167,1.41
16:54:49.199332,1.55
16:54:49.470022,1.52
16:54:49.863687,1.52
16:54:50.050547,1.63
16:54:50.370971,1.85
16:54:50.657782,0.0
16:54:50.911300,1.55
16:54:51.205518,1.52
16:54:51.556538,1.37
16:54:51.847886,1.37
16:54:52.149123,1.33
16:54:52.446975,1.33
16:54:52.762770,0.86
16:54:53.439178,0.89
16:54:53.816689,1.11
16:54:54.078039,1.41
16:54:54.532059,1.55
16:54:55.105300,1.48
16:54:55.351586,1.52
16:54:55.681295,1.66
16:54:56.028267,1.7
16:54:56.265130,1.7
16:54:56.605688,1.48
16:54:56.881624,1.44
16:54:57.133800,1.41
16:54:57.570552,1.55
16:54:57.755613,1.7
16:54:58.035416,1.63
16:54:58.355896,1.55
16:54:58.622951,1.7
16:54:58.962330,1.52
16:54:59.262678,1.19
16:54:59.489831,0.75
16:54:59.861314,1.08
16:55:00.354720,0.71
16:55:00.665961,0.67
16:55:00.964926,0.93
16:55:01.581690,0.0
16:55:01.963925,0.0
16:55:02.292253,0.56
16:55:02.590604,1.04
16:55:02.936850,0.0
16:55:03.334817,1.26
16:55:03.525728,1.15
16:55:03.916219,0.0
16:55:04.558477,0.0
16:55:04.878426,0.0
16:55:05.268102,1.55
16:55:05.470954,1.88
16:55:05.742210,1.77
16:55:05.959248,1.7
16:55:06.277176,1.77
16:55:06.915954,1.59
16:55:07.044093,1.66
16:55:07.370954,1.52
16:55:07.729826,1.48
16:55:07.998609,1.08
16:55:08.211088,2.03
16:55:08.673493,0.45
16:55:09.048897,0.27
16:55:09.465492,0.0
16:55:09.872045,1.15
16:55:10.097728,1.66
16:55:10.581462,1.99
16:55:11.090571,0.0
16:55:11.226343,0.0
16:55:11.626836,0.0
16:55:12.148923,0.38
16:55:12.310530,1.59
16:55:12.710616,1.11
16:55:12.987846,1.33
16:55:13.291456,1.0
16:55:13.712028,0.93
16:55:14.120540,0.49
16:55:14.282354,1.19
16:55:14.612066,1.3
16:55:14.941738,1.0
16:55:15.581840,0.97
16:55:15.827820,1.04
16:55:15.992632,0.78
16:55:16.435603,1.37
16:55:16.731223,1.3
16:55:16.998310,1.37
16:55:17.240081,1.37
16:55:17.763770,1.15
16:55:18.000930,1.22
16:55:18.377194,1.52
16:55:18.734564,1.04
16:55:18.938661,1.26
16:55:19.378680,1.04
16:55:19.615164,1.15
16:55:19.999276,0.0
16:55:20.272592,1.08
16:55:20.454933,1.04
16:55:20.765875,0.0
16:55:21.093300,1.3
16:55:21.348419,1.15
16:55:21.860261,1.33
16:55:22.199715,0.97
16:55:22.730175,1.55
16:55:22.839397,1.22
16:55:23.101143,1.11
16:55:23.488369,1.26
16:55:23.640993,1.33
16:55:24.141866,0.86
16:55:24.477443,0.78
16:55:24.693396,1.04
16:55:24.968182,1.59
16:55:25.408471,1.3
16:55:25.625659,1.52
16:55:26.010503,1.55
16:55:26.306462,0.0
16:55:26.847441,1.08
16:55:26.975498,1.08
16:55:27.314796,1.04
16:55:27.648819,1.3
16:55:28.078173,0.0
16:55:28.217506,1.08
16:55:28.515483,1.04
16:55:28.980411,1.0
16:55:29.197623,0.97
16:55:29.452001,0.0
16:55:29.820570,0.93
16:55:30.178822,0.97
16:55:30.486666,0.82
16:55:30.881837,0.82
16:55:31.165485,1.11
16:55:31.498827,0.86
16:55:31.698269,0.93
16:55:32.222202,1.0
16:55:32.526139,0.0
16:55:32.722614,0.0
16:55:33.074920,0.0
16:55:33.225679,1.08
16:55:33.655058,0.71
16:55:33.974651,0.93
16:55:34.185743,0.82
16:55:34.468711,0.93
