--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
13:45:30.815729,inf
13:45:32.407104,0.0
13:45:32.709373,0.0
13:45:33.156812,0.0
13:45:33.853703,3.49
13:45:34.114405,30.51
13:45:34.433729,3.27
13:45:34.815801,0.6
13:45:35.270216,4.96
13:45:35.570334,14.11
13:45:36.046422,0.0
13:45:36.394904,2.17
13:45:36.746179,0.86
13:45:36.948770,0.0
13:45:37.290817,0.0
13:45:37.979081,2.17
13:45:38.288685,3.05
13:45:38.655456,3.35
13:45:38.951372,3.05
13:45:40.042610,0.0
13:45:40.538092,3.16
13:45:40.857321,0.38
13:45:41.203020,0.53
13:45:41.600053,7.81
13:45:41.864407,2.94
13:45:42.215689,1.04
13:45:42.616951,0.23
13:45:42.955694,0.38
13:45:43.077221,3.02
13:45:43.416293,0.56
13:45:43.671107,2.98
13:45:44.113519,2.47
13:45:44.497113,0.38
13:45:44.992476,0.49
13:45:45.286982,0.0
13:45:45.571097,0.34
13:45:46.196932,1.33
13:45:46.455449,0.97
13:45:46.755432,0.0
13:45:47.183632,0.42
13:45:47.561421,1.37
13:45:48.033997,0.0
13:45:48.268509,0.71
13:45:48.579022,2.03
13:45:49.019898,2.06
13:45:49.280225,1.66
13:45:50.328611,0.0
13:45:50.617321,2.69
13:45:51.599339,5.91
13:45:51.999233,0.0
13:45:53.191251,3.46
13:45:55.177522,0.0
13:45:55.405545,0.38
13:45:55.713890,0.0
13:45:56.063713,0.23
13:45:56.460488,1.55
13:45:56.723489,1.44
13:45:56.992743,0.0
13:45:57.383250,0.0
13:45:57.768441,0.89
13:45:58.119111,1.0
13:45:58.399318,1.26
13:45:58.609561,1.59
13:45:58.950459,1.41
13:45:59.365938,0.2
13:45:59.638912,3.13
13:45:59.976790,4.85
13:46:01.221193,0.23
13:46:01.492707,1.77
13:46:01.769982,1.22
13:46:02.559334,0.16
13:46:02.927723,1.63
13:46:03.165422,4.81
13:46:03.583593,3.79
13:46:03.801936,0.0
13:46:04.478439,1.33
13:46:04.935435,1.7
13:46:05.321120,4.85
13:46:05.552064,2.54
13:46:05.837415,2.87
13:46:06.495513,1.63
13:46:06.900102,0.6
13:46:07.209385,0.45
13:46:07.685462,0.0
13:46:08.153717,1.37
13:46:08.451986,1.74
13:46:09.141554,1.92
13:46:09.509395,2.91
13:46:09.855801,2.58
13:46:10.279849,13.67
13:46:10.593274,2.14
13:46:10.983379,0.38
13:46:11.240578,0.0
13:46:11.644217,0.38
13:46:11.965052,0.0
13:46:12.496031,0.82
13:46:12.865162,2.87
13:46:13.377575,2.69
13:46:13.964335,0.0
13:46:14.218814,1.7
13:46:14.642071,1.7
13:46:15.639507,0.0
13:46:16.059851,1.37
13:46:16.218668,0.0
13:46:16.700708,0.0
13:46:16.946131,0.67
13:46:17.504706,1.3
13:46:17.692364,1.66
13:46:18.146050,2.94
13:46:18.404825,0.0
13:46:18.769813,0.0
13:46:19.184137,1.44
13:46:19.507877,0.93
13:46:20.059096,1.99
13:46:20.453136,0.0
13:46:20.769225,1.26
13:46:21.039227,0.0
13:46:21.422458,0.89
13:46:21.711592,1.19
13:46:22.330888,1.37
13:46:23.199363,11.33
13:46:25.063299,0.0
13:46:25.516845,4.11
13:46:25.924040,2.5
13:46:26.347453,2.72
13:46:26.588738,3.6
13:46:26.912435,3.75
13:46:27.394843,0.0
13:46:27.917220,0.6
13:46:28.503683,0.82
13:46:28.872331,0.86
13:46:29.435158,0.0
13:46:31.097135,1.22
13:46:31.599360,0.0
13:46:31.909610,2.72
13:46:32.241699,0.78
13:46:32.929158,1.37
13:46:33.339369,0.0
13:46:34.461513,2.83
13:46:34.879582,0.89
