--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:39:38.962683,inf
16:39:39.356753,0.0
16:39:39.686226,0.0
16:39:40.022236,0.42
16:39:40.379394,0.0
16:39:40.758490,0.09
16:39:40.944109,0.0
16:39:41.476129,8.87
16:39:42.001253,10.12
16:39:42.251618,9.97
16:39:43.127359,10.04
16:39:43.544377,0.0
16:39:43.955268,7.81
16:39:44.259924,2.87
16:39:44.693616,9.86
16:39:44.969815,5.47
16:39:45.291840,3.42
16:39:45.627123,9.9
16:39:45.851502,10.08
16:39:46.231234,9.97
16:39:46.634882,3.82
16:39:47.080580,0.89
16:39:47.319125,10.26
16:39:47.931862,5.51
16:39:48.494382,10.23
16:39:49.149790,10.12
16:39:49.544233,5.58
16:39:50.075184,7.34
16:39:50.444154,2.87
16:39:51.045585,0.82
16:39:51.383755,9.2
16:39:52.049901,0.0
16:39:53.523328,10.08
16:39:53.934873,1.63
16:39:54.538548,3.71
16:39:54.932426,10.37
16:39:55.196965,5.8
16:39:55.407754,10.37
16:39:55.822190,10.12
16:39:56.091818,10.08
16:39:56.589381,10.34
16:39:56.820524,10.04
16:39:57.352340,10.19
16:39:57.691086,10.15
16:39:57.918536,10.19
16:39:58.512613,10.15
16:39:58.922018,0.0
16:39:59.672873,0.0
16:40:00.100797,10.23
16:40:00.901759,9.93
16:40:01.405761,9.71
16:40:01.709844,5.25
16:40:01.969748,5.47
16:40:02.556094,9.9
16:40:03.038144,9.86
16:40:03.440722,5.51
16:40:03.738627,9.9
16:40:04.119585,9.5
16:40:04.477313,9.79
16:40:04.789035,9.75
16:40:05.080939,9.53
16:40:05.567623,9.93
16:40:05.911781,9.68
16:40:06.232804,9.97
16:40:06.516243,10.12
16:40:06.969672,3.46
16:40:07.172551,9.9
16:40:07.810243,10.08
16:40:08.081684,10.12
16:40:08.440200,10.23
16:40:09.371509,10.19
16:40:09.739707,10.48
16:40:12.213284,11.36
16:40:12.854009,10.89
16:40:13.223748,0.0
16:40:13.367086,0.0
16:40:14.155783,9.9
16:40:15.379399,9.97
16:40:16.599032,10.04
16:40:17.958785,10.56
16:40:18.248582,10.34
16:40:18.587545,5.8
16:40:18.949192,10.08
16:40:19.208419,10.34
16:40:19.642787,1.37
16:40:20.660357,8.25
16:40:20.989372,3.49
16:40:21.468441,3.38
16:40:22.910750,0.0
